Time,Item Name,Location,Coordinates
7:00 AM,Blood Orange,Upper La Noscea,"(x28,y25)"
7:00 AM,Bamboo Stick,Upper La Noscea,"(x28,y25)"
8:00 AM,La Noscean Leek,Western La Noscea,"(x34,y28)"
8:00 AM,Mazlaya Greens,Western La Noscea,"(x34,y28)"
8:00 AM,Waterfowl Feather (Rare),Western La Noscea,"(x34,y28)"
9:00 AM,Apricot,Middle La Noscea,"(x19,y16)"
9:00 AM,Spruce Log,Coerthas Central Highlands,"(x27,y12)"
9:00 AM,Prickly Pineapple Seeds,Eastern La Noscea,"(x30.4,y28.4)"
9:00 AM,Prickly Pineapple,Eastern La Noscea,"(x30.4,y28.4)"
10:00 AM,Cypress Log,Central Shroud,"(x24.6,y28.5)"
1:00 PM,Vampire Plant,Coerthas Central Highlands,"(x27,y24)"
1:00 PM,Black Truffle,Eastern Thanalan,"(x12,y16)"
1:00 PM,Mazlaya Greens (Rare),Eastern Thanalan,"(x12,y16)"
1:00 PM,Dzemael Tomato,Eastern La Noscea,"(x18,y26)"
1:00 PM,Dzemael Tomato Seeds (Rare),Eastern La Noscea,"(x18,y26)"
5:00 PM,Thavnairian Mistletoe,Coerthas Central Highlands,"(x8,y13)"
5:00 PM,Rosemary,East Shroud,"(x22,y30)"
9:00 PM,Kidragora,East Shroud,"(x13,y23)"
9:00 PM,Trillium Bulb,East Shroud,"(x13,y23)"
12:00AM/PM,Raw Triplite,Amh Araeng,"(x20,y29)"
12:00AM/PM,Raw Onyx,The Tempest,"(x16,y21)"
2:00AM/PM,Rarefied Reef Rock,The Tempest,"(x33,y21)"
2:00AM/PM,Rarefied Tungsten Ore,The Tempest,"(x33,y21)"
2:00AM/PM,Raw Hematite,Kholusia,"(x33,y23)"
4:00AM/PM,Raw Lazurite,The Rak'tika Greatwood,"(x19,y21)"
4:00AM/PM,Rarefied Raw Petalite,Lakeland,"(x36,y24)"
4:00AM/PM,Rarefied Titancopper Ore,Lakeland,"(x36,y24)"
6:00AM/PM,Rarefied Raw Lazurite,The Rak'tika Greatwood,"(x16,y18)"
6:00AM/PM,Raw Diaspore,Il Mheg,"(x26,y13)"
6:00AM/PM,Raw Petalite,Lakeland,"(x29,y33)"
8:00AM/PM,Rarefied Raw Onyx,The Tempest,"(x25,y4)"
8:00AM/PM,Rarefied Sea Salt,The Tempest,"(x25,y4)"
12:00 AM/PM,Ala Mhigan Salt Crystal,The Lochs,"(x21,y29)"
12:00 AM/PM,Raw Star Spinel,The Ruby Sea,"(x15,y5)"
2:00 AM/PM,Raw Triphane,The Fringes,"(x24,y8)"
4:00 AM/PM,Raw Azurite,Azim Steppe,"(x5,y29)"
6:00 AM/PM,Raw Imperial Jade,Yanxia,"(x29,y9)"
6:00 AM/PM,Rarefied Raw Azurite,Azim Steppe,"(x36,y26)"
6:00 AM/PM,Rarefied Silvergrace Ore,Azim Steppe,"(x36,y26)"
8:00 AM/PM,Rarefied Raw Triphane,The Fringes,"(x30,y13)"
8:00 AM/PM,Rarefied Raw Kyanite,The Fringes,"(x30,y13)"
8:00 AM/PM,Raw Rhodonite,The Peaks,"(x26,y12)"
10:00 AM/PM,Rarefied Raw Star Spinel,The Ruby Sea,"(x21,y34)"
10:00 AM/PM,Rarefied Gyr Abanian Alumen,The Fringes,"(x32,y31)"
12:00 AM/PM,Adamantite Ore,Azys Lla,"(x24,y6)"
2:00 AM/PM,Rarefied Abalathian Spring Water,The Sea of Clouds,"(x21,y12)"
2:00 AM/PM,Rarefied Aurum Regis Sand,The Sea of Clouds,"(x21,y12)"
4:00 AM/PM,Rarefied Chalcocite,The Dravanian Forelands,"(x31,y32)"
4:00 AM/PM,Rarefied Pyrite,The Dravanian Forelands,"(x31,y32)"
4:00 AM/PM,Rarefied Limonite,The Dravanian Forelands,"(x31,y32)"
10:00 AM/PM,Abalathian Rock Salt,The Sea of Clouds,"(x8,y8)"
10:00 AM/PM,Red Quartz,The Sea of Clouds,"(x8,y8)"
1:00 AM,Darksteel Ore,Coerthas Central Highlands,"(x27,y19)"
1:00 AM,Pumice,Eastern La Noscea,"(x17,y26)"
2:00 AM,Antumbral Rock,Eastern Thanalan,"(x26,y19)"
3:00 AM,Ferberite,Northern Thanalan,"(x16,y19)"
3:00 AM,Raw Topaz,Northern Thanalan,"(x16,y19)"
3:00 AM,Raw Iolite,Northern Thanalan,"(x16,y19)"
4:00 AM,Native Gold,Central Thanalan,"(x24,y16)"
4:00 AM,Raw Diamond,Central Thanalan,"(x24,y16)"
4:00 AM,Raw Emerald,Central Thanalan,"(x24,y16)"
4:00 AM,Platinum Ore,Southern Thanalan,"(x19,y8)"
5:00 AM,Gold Sand,Eastern Thanalan,"(x25,y22)"
6:00 AM,Umbral Rock,South Shroud,"(x16,y31)"
9:00 AM,Gold Ore,Eastern Thanalan,"(x28,y22)"
9:00 AM,Coblyn Larva,Eastern Thanalan,"(x28,y22)"
5:00 PM,Volcanic Rock Salt,Eastern La Noscea,"(x21,y32)"
5:00 PM,Virgin Basilisk Egg,Northern Thanalan,"(x24,y26)"
6:00 PM,Raw Ruby,Lower La Noscea,"(x23,y21)"
6:00 PM,Raw Sapphire,Lower La Noscea,"(x23,y21)"
9:00 PM,Astral Rock,Coerthas Central Highlands,"(x23,y23)"
